"5";"PcAtendimento";"TPageControl";"pnlPrincipal";"0";"0";"0";"1898";"";"";"";
"56";"DBCheckBox90";"TDBCheckBox";"GroupBox1";"8";"8";"419";"97";"entorses /";"DsPelve";"ENTORSE";
"57";"DBCheckBox373";"TDBCheckBox";"GroupBox1";"35";"35";"595";"232";"outras doenças ginecológicas";"DsPelve";"OUTRADORESGIN";
"58";"PhiDBEdit54";"TDBEdit";"GroupBox1";"148";"148";"265";"531";"";"DsPelve";"CIRURGIA_LOCAL";
"59";"PhiDBEdit55";"TDBEdit";"GroupBox1";"67";"67";"301";"758";"";"DsPelve";"CIRURGIA_TIPO";
"60";"PhiDBEdit56";"TDBEdit";"GroupBox1";"743";"743";"265";"83";"";"DsPelve";"CIRURGIA_TEMPO";
"61";"PhiDBEdit57";"TDBEdit";"GroupBox1";"148";"148";"343";"531";"";"DsPelve";"FRATURA_LOCAL";
"62";"PhiDBEdit58";"TDBEdit";"GroupBox1";"67";"67";"373";"759";"";"DsPelve";"FRATURA_TIPO";
"63";"PhiDBEdit59";"TDBEdit";"GroupBox1";"743";"743";"343";"83";"";"DsPelve";"FRATURA_TEMPO";
"64";"PhiDBEdit60";"TDBEdit";"GroupBox1";"148";"148";"410";"531";"";"DsPelve";"ENTORSE_LOCAL";
"65";"PhiDBEdit61";"TDBEdit";"GroupBox1";"67";"67";"440";"759";"";"DsPelve";"ENTORSE_TIPO";
"66";"PhiDBEdit62";"TDBEdit";"GroupBox1";"743";"743";"410";"83";"";"DsPelve";"ENTORSE_TEMPO";
"67";"DBCheckBox91";"TDBCheckBox";"GroupBox1";"8";"8";"541";"120";"dores retais";"DsPelve";"DORRETAL";
"68";"DBCheckBox96";"TDBCheckBox";"GroupBox1";"179";"179";"541";"120";"hemorróidas";"DsPelve";"DORRETAL_HEMORROIDA";
"69";"DBCheckBox104";"TDBCheckBox";"GroupBox1";"33";"33";"571";"94";"cirurgias /";"DsPelve";"DORRETAL_CIRURGIA";
"70";"DBCheckBox401";"TDBCheckBox";"GroupBox1";"8";"8";"479";"155";"cirurgias pélvicas /";"DsPelve";"CIRURGIAPELVICA";
"71";"PhiDBEdit67";"TDBEdit";"GroupBox1";"188";"188";"562";"637";"";"DsPelve";"DORRETAL_TEMPO";
"72";"DBCheckBox136";"TDBCheckBox";"GroupBox1";"8";"8";"510";"128";"cirurgias MMII /";"DsPelve";"CIRURGIAMMII";
"73";"PhiDBEdit74";"TDBEdit";"GroupBox1";"195";"195";"470";"631";"";"DsPelve";"CIRURGIAPELVICA_TIPO";
"74";"PhiDBEdit75";"TDBEdit";"GroupBox1";"171";"171";"501";"655";"";"DsPelve";"CIRURGIAMMII_TIPO";
"75";"DBCheckBox152";"TDBCheckBox";"GroupBox1";"8";"8";"183";"187";"processos degerativos";"DsPelve";"PROCESSODEGERATIVO";
"76";"DBCheckBox153";"TDBCheckBox";"GroupBox1";"260";"260";"183";"41";"D";"DsPelve";"PROCESSODEGERATIVO_D";
"77";"DBCheckBox154";"TDBCheckBox";"GroupBox1";"324";"324";"183";"120";"E";"DsPelve";"PROCESSODEGERATIVO_E";
"78";"DBCheckBox155";"TDBCheckBox";"GroupBox1";"383";"383";"183";"78";"bilateral";"DsPelve";"PROCESSODEGERATIVO_BILATERAL";
"79";"DBCheckBox156";"TDBCheckBox";"GroupBox1";"34";"34";"213";"92";"cirurgias /";"DsPelve";"PROCESSODEGERATIVO_CIRURGIA";
"80";"PhiDBEdit53";"TDBEdit";"GroupBox1";"182";"182";"204";"644";"";"DsPelve";"PROCESSODEGERATIVO_TEMPO";
"81";"DBCheckBox146";"TDBCheckBox";"GroupBox1";"8";"8";"616";"191";"traumas sobre o cóccix";"DsPelve";"TRAUMACOCCIX";
"82";"DBCheckBox151";"TDBCheckBox";"GroupBox1";"33";"33";"640";"179";"quedas sobre a pelve";"DsPelve";"TRAUMACOCCIX_QUEDAPELVE";
"83";"PhiDBEdit63";"TDBEdit";"GroupBox1";"218";"218";"631";"608";"";"DsPelve";"TRAUMACOCCIX_QUEDAPELVE_OBS";
"13";"GroupBox2";"TGroupBox";"sbPelves";"5";"5";"144";"840";"Masculino";"";"";
"14";"Label46";"TLabel";"GroupBox2";"137";"137";"81";"44";"tempo";"";"";
"15";"Label82";"TLabel";"GroupBox2";"8";"8";"190";"120";"outras patologias";"";"";
"16";"DBCheckBox364";"TDBCheckBox";"GroupBox2";"8";"8";"24";"241";"dores testiculares ou escrotais";"DsPelve";"DORTESTICULAR";
"17";"PhiDBEdit65";"TDBEdit";"GroupBox2";"187";"187";"75";"639";"";"DsPelve";"HIPERTROFIAPROSTATA_TEMPO";
"18";"DBCheckBox361";"TDBCheckBox";"GroupBox2";"54";"54";"80";"82";"cirurgia /";"DsPelve";"HIPERTROFIAPROSTATA_CIRURGIA";
"19";"DBCheckBox360";"TDBCheckBox";"GroupBox2";"327";"327";"50";"120";"CA";"DsPelve";"HIPERTROFIAPROSTATA_CA";
"20";"DBCheckBox359";"TDBCheckBox";"GroupBox2";"8";"8";"50";"174";"hipertofia de próstata";"DsPelve";"HIPERTROFIAPROSTATA";
"21";"DBCheckBox391";"TDBCheckBox";"GroupBox2";"8";"8";"108";"135";"disfunção erétil";"DsPelve";"DISFUNCAOERETIL";
"22";"DBCheckBox377";"TDBCheckBox";"GroupBox2";"8";"8";"134";"166";"dores na ejaculação";"DsPelve";"DISPAURENIA_DOREJACULA";
"23";"DBCheckBox378";"TDBCheckBox";"GroupBox2";"327";"327";"134";"162";"ejaculação precoce";"DsPelve";"DISPAURENIA_EJACULAPRECOCE";
"24";"DBCheckBox379";"TDBCheckBox";"GroupBox2";"510";"510";"134";"146";"ejaculação tardia";"DsPelve";"DISPAURENIA_EJACULATARDIA";
"25";"DBCheckBox87";"TDBCheckBox";"GroupBox2";"8";"8";"160";"219";"diminuição da libido sexual";"DsPelve";"DIMINUICAOLIBIDOSEXUAL";
"26";"DBCheckBox127";"TDBCheckBox";"GroupBox2";"327";"327";"160";"361";"diminuição da lubrificação peniana";"DsPelve";"DIMINUICAOLUBPENIANA";
"27";"PhiDBEdit84";"TDBEdit";"GroupBox2";"142";"142";"182";"684";"";"DsPelve";"DS_M_PATOLOGIAS";
"14";"GroupBox3";"TGroupBox";"sbPelves";"5";"5";"424";"840";"Feminino";"";"";
"15";"Label49";"TLabel";"GroupBox3";"472";"472";"187";"44";"tempo";"";"";
"16";"Label78";"TLabel";"GroupBox3";"51";"51";"265";"36";"DUM";"";"";
"17";"Label79";"TLabel";"GroupBox3";"50";"50";"299";"35";"DPO";"";"";
"18";"Label47";"TLabel";"GroupBox3";"449";"449";"454";"44";"tempo";"";"";
"19";"Label18";"TLabel";"GroupBox3";"8";"8";"367";"86";"Nº de partos";"";"";
"20";"Label19";"TLabel";"GroupBox3";"176";"176";"367";"30";"Tipo";"";"";
"21";"Label57";"TLabel";"GroupBox3";"5";"5";"396";"95";"Nº de abortos";"";"";
"22";"Label13";"TLabel";"GroupBox3";"30";"30";"549";"46";"Outros";"";"";
"23";"Label86";"TLabel";"GroupBox3";"8";"8";"338";"78";"Medicação";"";"";
"24";"Label87";"TLabel";"GroupBox3";"175";"175";"397";"30";"Tipo";"";"";
"25";"DBCheckBox163";"TDBCheckBox";"GroupBox3";"8";"8";"30";"89";"menarca";"DsPelve";"MENARCA";
"26";"DBCheckBox164";"TDBCheckBox";"GroupBox3";"44";"44";"62";"110";"menopausa";"DsPelve";"MENARCA_MENOPAUSA";
"27";"DBCheckBox166";"TDBCheckBox";"GroupBox3";"44";"44";"93";"125";"dismenorréias";"DsPelve";"MENARCA_DISMENORREIA";
"28";"DBCheckBox169";"TDBCheckBox";"GroupBox3";"8";"8";"130";"120";"fluxo menstrual";"DsPelve";"FLUXOMENSTRUAL";
"29";"DBCheckBox170";"TDBCheckBox";"GroupBox3";"175";"175";"130";"84";"normal";"DsPelve";"FLUXOMENSTRUAL_NORMAL";
"30";"DBCheckBox171";"TDBCheckBox";"GroupBox3";"327";"327";"130";"77";"intenso";"DsPelve";"FLUXOMENSTRUAL_INTENSO";
"31";"DBCheckBox333";"TDBCheckBox";"GroupBox3";"446";"446";"130";"134";"hipomenorréas";"DsPelve";"FLUXOMENSTRUAL_HIPOMENORREA";
"32";"DBCheckBox334";"TDBCheckBox";"GroupBox3";"617";"617";"130";"97";"coágulos";"DsPelve";"FLUXOMENSTRUAL_COAGULO";
"33";"DBCheckBox336";"TDBCheckBox";"GroupBox3";"8";"8";"159";"120";"metrorragia";"DsPelve";"METRORRAGIA";
"34";"DBCheckBox350";"TDBCheckBox";"GroupBox3";"175";"175";"159";"120";"menorragia";"DsPelve";"METRORRAGIA_MENORRAGIA";
"35";"DBCheckBox351";"TDBCheckBox";"GroupBox3";"327";"327";"159";"120";"amenorréia";"DsPelve";"METRORRAGIA_AMENORREIA";
"36";"DBCheckBox358";"TDBCheckBox";"GroupBox3";"617";"617";"159";"168";"spanioimenorréia";"DsPelve";"METRORRAGIA_SPANIOIMENORREIA";
"37";"DBCheckBox362";"TDBCheckBox";"GroupBox3";"8";"8";"188";"187";"síndrome pré-menstrual";"DsPelve";"SINDPM";
"38";"DBCheckBox363";"TDBCheckBox";"GroupBox3";"284";"284";"188";"182";"incontinência urinária /";"DsPelve";"SINDPM_INCONTURINARIA";
"39";"DBCheckBox374";"TDBCheckBox";"GroupBox3";"617";"617";"188";"151";"incontinência fecal";"DsPelve";"SINDPM_INCONTFECAL";
"40";"PhiDBEdit68";"TDBEdit";"GroupBox3";"100";"100";"21";"724";"";"DsPelve";"MENARCA_OBS";
"41";"PhiDBEdit69";"TDBEdit";"GroupBox3";"163";"163";"53";"661";"";"DsPelve";"MENARCA_MENOPAUSA_OBS";
"42";"PhiDBEdit70";"TDBEdit";"GroupBox3";"170";"170";"84";"655";"";"DsPelve";"MENARCA_DISMENORREIA_OBS";
"43";"PhiDBEdit71";"TDBEdit";"GroupBox3";"527";"527";"179";"68";"";"DsPelve";"SINDPM_INCONTURINARIA_TEMPO";
"44";"DBCheckBox205";"TDBCheckBox";"GroupBox3";"8";"8";"235";"137";"Ciclo Menstrual";"DsPelve";"CICLOMENSTRUAL";
"45";"PhiDBEdit116";"TDBEdit";"GroupBox3";"149";"149";"226";"677";"";"DsPelve";"CICLOMENSTRUAL_OBS";
"46";"PhiDBEdit117";"TDBEdit";"GroupBox3";"89";"89";"257";"737";"";"DsPelve";"CICLOMENSTRUAL_DUM";
"47";"PhiDBEdit118";"TDBEdit";"GroupBox3";"92";"92";"291";"733";"";"DsPelve";"CICLOMENSTRUAL_DPO";
"48";"DBCheckBox365";"TDBCheckBox";"GroupBox3";"175";"175";"455";"40";"D";"DsPelve";"CISTITE_D";
"49";"DBCheckBox366";"TDBCheckBox";"GroupBox3";"284";"284";"455";"34";"E";"DsPelve";"CISTITE_E";
"50";"DBCheckBox367";"TDBCheckBox";"GroupBox3";"364";"364";"455";"83";"bilateral /";"DsPelve";"CISTITE_BI";
"51";"DBCheckBox369";"TDBCheckBox";"GroupBox3";"8";"8";"455";"79";"cistites";"DsPelve";"CIATALGIA";
"52";"DBCheckBox370";"TDBCheckBox";"GroupBox3";"688";"688";"455";"117";"candidíases";"DsPelve";"CISTITE_CANDIDIASE";
"53";"DBCheckBox371";"TDBCheckBox";"GroupBox3";"175";"175";"484";"104";"corrimentos";"DsPelve";"CISTITE_CORRIMENTO";
"54";"DBCheckBox372";"TDBCheckBox";"GroupBox3";"365";"365";"484";"74";"prúrido";"DsPelve";"CISTITE_PRURIDO";
"55";"PhiDBEdit66";"TDBEdit";"GroupBox3";"506";"506";"446";"89";"";"DsPelve";"CISTITE_TEMPO";
"56";"DBCheckBox376";"TDBCheckBox";"GroupBox3";"8";"8";"591";"120";"dispareunias";"DsPelve";"DISPAURENIA";
"57";"DBCheckBox381";"TDBCheckBox";"GroupBox3";"8";"8";"620";"177";"dores na penetração";"DsPelve";"DORPENETRACAO";
"58";"DBCheckBox382";"TDBCheckBox";"GroupBox3";"284";"284";"620";"102";"profunda";"DsPelve";"DORPENETRACAO_PROFUNDA";
"59";"DBCheckBox383";"TDBCheckBox";"GroupBox3";"617";"617";"620";"108";"superficial";"DsPelve";"DORPENETRACAO_SUPERFICIAL";
"60";"DBCheckBox386";"TDBCheckBox";"GroupBox3";"8";"8";"649";"219";"diminuição da libido sexual";"DsPelve";"DIMINUILIBIDOSEX";
"61";"DBCheckBox387";"TDBCheckBox";"GroupBox3";"284";"284";"649";"361";"diminuição da lubrificação vaginal";"DsPelve";"DIMINUILUBRIFI";
"62";"DBCheckBox396";"TDBCheckBox";"GroupBox3";"8";"8";"678";"191";"disfunção da fertilização";"DsPelve";"DISFUNCAOFERTILIZACAO";
"63";"DBCheckBox397";"TDBCheckBox";"GroupBox3";"284";"284";"678";"65";"tempo";"DsPelve";"DISFUNCAOFERT_TEMPO";
"64";"DBCheckBox398";"TDBCheckBox";"GroupBox3";"32";"32";"707";"176";"tratamentos artificiais";"DsPelve";"DISFUNCAOFERT_TRATAMTO";
"65";"PhiDBEdit72";"TDBEdit";"GroupBox3";"357";"357";"669";"97";"";"DsPelve";"DISFUNCAOFERT_TEMPO_OBS";
"66";"PhiDBEdit73";"TDBEdit";"GroupBox3";"215";"215";"698";"610";"";"DsPelve";"DISFUNCAOFERT_TRATAMT_OBS";
"67";"PhiDBEdit28";"TDBEdit";"GroupBox3";"113";"113";"359";"46";"";"DsPelve";"N_NUMEROPARTO";
"68";"PhiDBEdit29";"TDBEdit";"GroupBox3";"213";"213";"359";"612";"";"DsPelve";"V_TIPOPARTO";
"69";"PhiDBEdit30";"TDBEdit";"GroupBox3";"113";"113";"389";"46";"";"DsPelve";"N_NUMEROABORTO";
"70";"PhiDBEdit24";"TDBEdit";"GroupBox3";"101";"101";"541";"725";"";"DsPelve";"CISTITE_OUTRAS";
"71";"PhiDBEdit85";"TDBEdit";"GroupBox3";"101";"101";"330";"725";"";"DsPelve";"DS_F_PARTO_MEDIC";
"72";"PhiDBEdit87";"TDBEdit";"GroupBox3";"212";"212";"389";"612";"";"DsPelve";"DS_F_ABORTO";
"73";"DBCheckBox216";"TDBCheckBox";"GroupBox3";"174";"174";"510";"151";"cistos ovarianos";"DsPelve";"BO_F_CISTO_OVARI";
"74";"DBCheckBox218";"TDBCheckBox";"GroupBox3";"364";"364";"510";"179";"alterações ovarianas";"DsPelve";"BO_F_ALT_OVARI";
"75";"DBCheckBox219";"TDBCheckBox";"GroupBox3";"685";"685";"506";"121";"endometriose";"DsPelve";"BO_F_ENDOMETRIOSE";
"76";"DBCheckBox220";"TDBCheckBox";"GroupBox3";"564";"564";"510";"74";"mioma";"DsPelve";"BO_F_MIOMA";
"15";"DBAdvMemo4";"TDBAdvMemo";"sbPelves";"5";"5";"1228";"839";"";"DsPelve";"DS_OBS";
"16";"";"TScrollBar";"DBAdvMemo4";"838";"838";"0";"16";"";"";"";
"17";"";"TScrollBar";"DBAdvMemo4";"0";"0";"0";"121";"";"";"";
"10";"TabTraumasAcidentes";"TTabSheet";"PcAtendimento";"4";"4";"61";"1890";"Traumas / Acidentes";"";"";
"11";"ScrollBox4";"TScrollBox";"TabTraumasAcidentes";"0";"0";"0";"1890";"";"";"";
"12";"Label55";"TLabel";"ScrollBox4";"116";"116";"47";"26";"tipo";"";"";
"13";"Label56";"TLabel";"ScrollBox4";"744";"744";"47";"44";"tempo";"";"";
"14";"Label59";"TLabel";"ScrollBox4";"104";"104";"131";"26";"tipo";"";"";
"15";"Label60";"TLabel";"ScrollBox4";"744";"744";"131";"44";"tempo";"";"";
"16";"Label83";"TLabel";"ScrollBox4";"158";"158";"215";"26";"tipo";"";"";
"17";"Label12";"TLabel";"ScrollBox4";"744";"744";"215";"44";"tempo";"";"";
"18";"Label62";"TLabel";"ScrollBox4";"5";"5";"297";"169";"Observação (4000 char)";"";"";
"19";"Label100";"TLabel";"ScrollBox4";"116";"116";"-41";"30";"Tipo";"";"";
"20";"Label101";"TLabel";"ScrollBox4";"748";"748";"-29";"44";"tempo";"";"";
"21";"DBCheckBox217";"TDBCheckBox";"ScrollBox4";"10";"10";"48";"103";"Acidentes /";"DsTraumas";"ACIDENTE";
"22";"DBCheckBox227";"TDBCheckBox";"ScrollBox4";"10";"10";"132";"91";"Fraturas /";"DsTraumas";"FRATURA";
"23";"PhiDBEdit82";"TDBEdit";"ScrollBox4";"797";"797";"39";"60";"";"DsTraumas";"ACIDENTE_TEMPO";
"24";"PhiDBEdit86";"TDBEdit";"ScrollBox4";"797";"797";"123";"60";"";"DsTraumas";"FRATURA_TEMPO";
"25";"DBCheckBox206";"TDBCheckBox";"ScrollBox4";"10";"10";"216";"146";"Outras Cirurgias /";"DsTraumas";"OUTRASCIRURGIA";
"26";"PhiDBEdit23";"TDBEdit";"ScrollBox4";"797";"797";"207";"60";"";"DsTraumas";"OUTRASCIRURGIA_TEMPO";
"27";"DBMemo7";"TDBMemo";"ScrollBox4";"150";"150";"39";"571";"";"DsTraumas";"ACIDENTE_TIPO";
"28";"DBMemo8";"TDBMemo";"ScrollBox4";"142";"142";"123";"579";"";"DsTraumas";"FRATURA_TIPO";
"29";"DBMemo9";"TDBMemo";"ScrollBox4";"190";"190";"207";"531";"";"DsTraumas";"OUTRASCIRURGIA_TIPO";
"30";"DBAdvMemo6";"TDBAdvMemo";"ScrollBox4";"5";"5";"324";"839";"";"DsTraumas";"DS_OBS";
"31";"";"TScrollBar";"DBAdvMemo6";"838";"838";"0";"16";"";"";"";
"32";"";"TScrollBar";"DBAdvMemo6";"0";"0";"0";"121";"";"";"";
"31";"DBMemo16";"TDBMemo";"ScrollBox4";"150";"150";"-40";"571";"";"DsTraumas";"QUEDA_TIPO";
"32";"DBCheckBox228";"TDBCheckBox";"ScrollBox4";"10";"10";"-40";"103";"Queda /";"DsTraumas";"QUEDA";
"33";"PhiDBEdit127";"TDBEdit";"ScrollBox4";"801";"801";"-37";"60";"";"DsTraumas";"QUEDA_TEMPO";
"11";"TabPatologiasAnteriores";"TTabSheet";"PcAtendimento";"4";"4";"61";"1890";"Patologias Anteriores";"";"";
"12";"ScrollBox5";"TScrollBox";"TabPatologiasAnteriores";"0";"0";"0";"1890";"";"";"";
"13";"Label63";"TLabel";"ScrollBox5";"722";"722";"-191";"44";"tempo";"";"";
"14";"Label67";"TLabel";"ScrollBox5";"722";"722";"-132";"44";"tempo";"";"";
"15";"Label69";"TLabel";"ScrollBox5";"722";"722";"-103";"44";"tempo";"";"";
"16";"Label70";"TLabel";"ScrollBox5";"153";"153";"-43";"26";"tipo";"";"";
"17";"Label71";"TLabel";"ScrollBox5";"722";"722";"-43";"44";"tempo";"";"";
"18";"Label84";"TLabel";"ScrollBox5";"722";"722";"-14";"44";"tempo";"";"";
"19";"Label85";"TLabel";"ScrollBox5";"722";"722";"16";"44";"tempo";"";"";
"20";"Label58";"TLabel";"ScrollBox5";"10";"10";"211";"46";"Outras";"";"";
"21";"Label64";"TLabel";"ScrollBox5";"5";"5";"297";"169";"Observação (4000 char)";"";"";
"22";"Label65";"TLabel";"ScrollBox5";"13";"13";"-160";"78";"Medicação";"";"";
"23";"Label53";"TLabel";"ScrollBox5";"169";"169";"66";"26";"tipo";"";"";
"24";"Label54";"TLabel";"ScrollBox5";"724";"724";"66";"44";"tempo";"";"";
"25";"DBCheckBox252";"TDBCheckBox";"ScrollBox5";"10";"10";"-190";"120";"diabetes";"DsPatologia";"DIABETE";
"26";"DBCheckBox253";"TDBCheckBox";"ScrollBox5";"180";"180";"-190";"84";"CA / tipo";"DsPatologia";"DIABETE_CA";
"27";"DBCheckBox262";"TDBCheckBox";"ScrollBox5";"10";"10";"-131";"201";"doenças reumáticas / tipo";"DsPatologia";"DOENCAREUMATICA";
"28";"DBCheckBox267";"TDBCheckBox";"ScrollBox5";"10";"10";"-102";"120";"astenia";"DsPatologia";"ASTENIA";
"29";"DBCheckBox268";"TDBCheckBox";"ScrollBox5";"180";"180";"-102";"82";"TU / tipo";"DsPatologia";"ASTENIA_TU";
"30";"PhiDBEdit88";"TDBEdit";"ScrollBox5";"268";"268";"-199";"435";"";"DsPatologia";"DIABETE_CA_TIPO";
"31";"PhiDBEdit89";"TDBEdit";"ScrollBox5";"780";"780";"-199";"60";"";"DsPatologia";"DIABETE_CA_TEMPO";
"32";"PhiDBEdit92";"TDBEdit";"ScrollBox5";"217";"217";"-140";"486";"";"DsPatologia";"DOENCAREUMATICA_TIPO";
"33";"PhiDBEdit93";"TDBEdit";"ScrollBox5";"780";"780";"-140";"60";"";"DsPatologia";"DOENCAREUMATICA_TEMPO";
"34";"PhiDBEdit94";"TDBEdit";"ScrollBox5";"268";"268";"-109";"435";"";"DsPatologia";"ASTENIA_TU_TIPO";
"35";"PhiDBEdit95";"TDBEdit";"ScrollBox5";"780";"780";"-111";"60";"";"DsPatologia";"ASTENIA_TU_TEMPO";
"36";"DBCheckBox272";"TDBCheckBox";"ScrollBox5";"10";"10";"-72";"103";"tromboses";"DsPatologia";"TROMBOSE";
"37";"PhiDBEdit96";"TDBEdit";"ScrollBox5";"118";"118";"-81";"176";"";"DsPatologia";"TROMBOSE_OBS";
"38";"DBCheckBox274";"TDBCheckBox";"ScrollBox5";"300";"300";"-72";"94";"aneurisma";"DsPatologia";"TROMBOSE_ANEURISMA";
"39";"PhiDBEdit97";"TDBEdit";"ScrollBox5";"404";"404";"-81";"158";"";"DsPatologia";"TROMBOSE_ANEURISMA_OBS";
"40";"DBCheckBox276";"TDBCheckBox";"ScrollBox5";"590";"590";"-72";"52";"TB";"DsPatologia";"TROMBOSE_TB";
"41";"PhiDBEdit98";"TDBEdit";"ScrollBox5";"636";"636";"-81";"204";"";"DsPatologia";"TROMBOSE_TB_OBS";
"42";"DBCheckBox277";"TDBCheckBox";"ScrollBox5";"10";"10";"-42";"140";"outras doenças /";"DsPatologia";"OUTRADOENCA";
"43";"PhiDBEdit99";"TDBEdit";"ScrollBox5";"186";"186";"-51";"517";"";"DsPatologia";"OUTRADOENCA_TIPO";
"44";"PhiDBEdit100";"TDBEdit";"ScrollBox5";"780";"780";"-51";"60";"";"DsPatologia";"OUTRADOENCA_TEMPO";
"45";"CbPatologiaHipertensao";"TDBCheckBox";"ScrollBox5";"10";"10";"-13";"151";"Hipertensão / tipo";"DsPatologia";"HIPERTENSAO";
"46";"DbPatologiaHipertensaoTipo";"TDBEdit";"ScrollBox5";"156";"156";"-22";"547";"";"DsPatologia";"HIPERTENSAO_TIPO";
"47";"DBCheckBox210";"TDBCheckBox";"ScrollBox5";"10";"10";"17";"140";"Hipotensão / tipo";"DsPatologia";"HIPOTENSAO";
"48";"PhiDBEdit123";"TDBEdit";"ScrollBox5";"156";"156";"8";"547";"";"DsPatologia";"HIPOTENSAO_TIPO";
"49";"DbPatologiaHipertensaoTempo";"TDBEdit";"ScrollBox5";"780";"780";"-22";"60";"";"DsPatologia";"HIPOTENSAO";
"50";"PhiDBEdit125";"TDBEdit";"ScrollBox5";"780";"780";"8";"60";"";"DsPatologia";"HIPOTENSAO_TEMPO";
"51";"DBMemo10";"TDBMemo";"ScrollBox5";"62";"62";"207";"778";"";"DsPatologia";"HIPOTENSAO_TEMPO";
"52";"DBAdvMemo7";"TDBAdvMemo";"ScrollBox5";"5";"5";"324";"839";"";"DsPatologia";"DS_OBS";
"53";"";"TScrollBar";"DBAdvMemo7";"838";"838";"0";"16";"";"";"";
"54";"";"TScrollBar";"DBAdvMemo7";"0";"0";"0";"121";"";"";"";
"53";"PhiDBEdit90";"TDBEdit";"ScrollBox5";"97";"97";"-168";"606";"";"DsPatologia";"MEDICACAO";
"54";"DBCheckBox212";"TDBCheckBox";"ScrollBox5";"10";"10";"67";"164";"Traumas / Cirurgia /";"DsTraumas";"QUEDA";
"55";"PhiDBEdit80";"TDBEdit";"ScrollBox5";"777";"777";"58";"60";"";"DsTraumas";"QUEDA_TEMPO";
"56";"DBMemo6";"TDBMemo";"ScrollBox5";"13";"13";"103";"827";"";"DsTraumas";"QUEDA_TIPO";
"12";"TabHabitosDeVida";"TTabSheet";"PcAtendimento";"4";"4";"61";"1890";"Hábitos de Vida";"";"";
"13";"ScrollBox6";"TScrollBox";"TabHabitosDeVida";"0";"0";"0";"1890";"";"";"";
"14";"Label72";"TLabel";"ScrollBox6";"34";"34";"-116";"30";"Tipo";"";"";
"15";"Label73";"TLabel";"ScrollBox6";"233";"233";"-145";"47";"Tempo";"";"";
"16";"Label74";"TLabel";"ScrollBox6";"435";"435";"-149";"79";"Frequência";"";"";
"17";"Label75";"TLabel";"ScrollBox6";"478";"478";"-60";"22";"dia";"";"";
"18";"Label76";"TLabel";"ScrollBox6";"769";"769";"-60";"22";"dia";"";"";
"19";"Label14";"TLabel";"ScrollBox6";"10";"10";"216";"46";"Outros";"";"";
"20";"Label66";"TLabel";"ScrollBox6";"5";"5";"301";"169";"Observação (4000 char)";"";"";
"21";"DBCheckBox292";"TDBCheckBox";"ScrollBox6";"10";"10";"-144";"176";"Práticas de Exercício";"DsHabitos";"PRATEXERCICIO";
"22";"DBCheckBox297";"TDBCheckBox";"ScrollBox6";"10";"10";"-59";"120";"Sedentário";"DsHabitos";"SEDENTARIO";
"23";"DBCheckBox298";"TDBCheckBox";"ScrollBox6";"180";"180";"-59";"88";"Fumante";"DsHabitos";"SEDENTARIO_FUMANTE";
"24";"DBCheckBox300";"TDBCheckBox";"ScrollBox6";"545";"545";"-59";"66";"Etílico ";"DsHabitos";"SEDENTARIO_ETILICO";
"25";"DBCheckBox302";"TDBCheckBox";"ScrollBox6";"10";"10";"8";"120";"Alimentação";"DsHabitos";"ALIMENTACAO";
"26";"DBCheckBox303";"TDBCheckBox";"ScrollBox6";"180";"180";"8";"110";"Equilibrada";"DsHabitos";"ALIMENTACAO_EQUILIBRADA";
"27";"DBCheckBox304";"TDBCheckBox";"ScrollBox6";"431";"431";"8";"138";"Desequilibrada";"DsHabitos";"ALIMENTACAO_DESEQUILIBRADA";
"28";"DBCheckBox307";"TDBCheckBox";"ScrollBox6";"10";"10";"39";"153";"Ingestão de Água";"DsHabitos";"INGESTAOAGUA";
"29";"DBCheckBox308";"TDBCheckBox";"ScrollBox6";"180";"180";"39";"120";"1 Litro / Dia";"DsHabitos";"INGESTAOAGUA_1L";
"30";"DBCheckBox309";"TDBCheckBox";"ScrollBox6";"431";"431";"39";"180";"Mais de 2 Litros / Dia";"DsHabitos";"INGESTAOAGUA_MAIS2L";
"31";"PhiDBEdit101";"TDBEdit";"ScrollBox6";"75";"75";"-123";"785";"";"DsHabitos";"PRATEXERCICIO_TIPO";
"32";"PhiDBEdit102";"TDBEdit";"ScrollBox6";"300";"300";"-153";"50";"";"DsHabitos";"PRATEXERCICIO_TEMPO";
"33";"PhiDBEdit103";"TDBEdit";"ScrollBox6";"533";"533";"-153";"328";"";"DsHabitos";"PRATEXERCICIO_FREQ";
"34";"PhiDBEdit104";"TDBEdit";"ScrollBox6";"274";"274";"-68";"198";"";"DsHabitos";"SEDENTARIO_FUMANTE_OBS";
"35";"PhiDBEdit105";"TDBEdit";"ScrollBox6";"613";"613";"-68";"150";"";"DsHabitos";"SEDENTARIO_ETILICO_OBS";
"36";"DBCheckBox211";"TDBCheckBox";"ScrollBox6";"10";"10";"70";"147";"Hábito de Dormir";"DsHabitos";"HABITODORMIR";
"37";"PhiDBEdit126";"TDBEdit";"ScrollBox6";"178";"178";"61";"657";"";"DsHabitos";"HABITODORMIR_OBS";
"38";"DBMemo11";"TDBMemo";"ScrollBox6";"62";"62";"219";"773";"";"DsHabitos";"OUTROS";
"39";"DBAdvMemo8";"TDBAdvMemo";"ScrollBox6";"5";"5";"324";"839";"";"DsHabitos";"DS_OBS";
"40";"";"TScrollBar";"DBAdvMemo8";"838";"838";"0";"16";"";"";"";
